# vbc3 100210 I added beta-1 and gamma-1 columns in order to allow rotation of those angles in the RNA rotator tool,,,,,,,,,,,,,,,,,,,,,,,
#bin,name,chi i-1,beta i-1,gamma i-1, delta i-1, epsilon,  zeta,  alpha,  beta,  gamma,  delta,  chi,chi-1,beta i-1,gamma i-1,del-1,epsil,zeta,alpha,beta,gam,delta, chi
22p,0b,179,,,147.593,248.421,112.086,274.943,164.764,56.843,146.264,243,82,,,4,20.1,14.4,16.7,16.1,12.3,5.6,30
22p,4p,175,,,150.077,260.246,213.785,71.9,207.638,56.715,148.131,244,88,,,9.5,16.2,18.7,12.8,27.2,14.3,4.3,23
22p,6p,192,,,146.415,257.831,89.597,67.923,173.051,55.513,147.623,243,73,,,7.2,20.5,15.4,11.6,18.1,8.1,3.6,11
22t,4s,218,,,149.863,247.562,170.488,277.938,84.425,176.413,148.087,262,9,,,2.3,16,11.8,13.2,6.7,5.5,1.5,6
22m,2o,235,,,147.342,256.475,295.508,287.408,194.525,293.725,150.458,200,13,,,6.1,15.4,16.3,3.5,25.6,6.9,3.4,83
#wannabe ,,,,,,,,,,,,,,,,,,,,,,,
33t,5n,,,,86.055,246.502,100.392,73.595,213.752,183.395,85.483,,,,,2.5,28.4,6.8,8.6,14.5,5.9,3.2,
32p,5p,,,,84.457,213.286,69.086,75.5,156.671,57.486,147.686,,,,,3.7,30.5,29.8,24.2,25.3,15.7,5.8,
32m,5r,,,,83,196.9,65.35,60.15,138.425,292.55,154.275,,,,,1.3,23.1,14.7,17.4,23,10,4.8,
23p,2g,,,,141.9,258.383,286.517,178.267,165.217,48.35,84.783,,,,,3.8,17.9,13.4,24.1,22.3,5.1,5.4,
23m,0k,,,,149.067,249.783,111.517,278.367,207.783,287.817,86.65,,,,,6,22.2,17.4,18.5,37.6,13.4,5.4,
22p,2z,,,,142.9,236.55,268.8,180.783,185.133,54.467,143.35,,,,,6.2,25.6,25.9,16.2,27.9,8.4,11.7,
22t,2u,,,,143.94,258.2,298.24,279.64,183.68,183.08,145.12,,,,,6.8,4.7,14.1,9.1,32.2,21,5,
